Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts h2o2 Replicate 1	Raw Counts h2o2 Replicate 2	Normalized Counts h2o2 Replicate 1	Normalized Counts h2o2 Replicate 2	RPKM h2o2	Expression h2o2	Raw Counts expon Replicate 1	Raw Counts expon Replicate 2	Normalized Counts expon Replicate 1	Normalized Counts expon Replicate 2	RPKM expon	Expression expon	Raw Counts stat Replicate 1	Raw Counts stat Replicate 2	Raw Counts stat Replicate 3	Normalized Counts stat Replicate 1	Normalized Counts stat Replicate 2	Normalized Counts stat Replicate 3	RPKM stat	Expression stat	pValue h2o2 vs expon	qValue h2o2 vs expon	pValue h2o2 vs stat	qValue h2o2 vs stat	pValue expon vs stat	qValue expon vs stat
1439055	1439055	1437748	1437596	-	SSO1593	SSO1593	hypothetical protein	1006	471	27951	18629	14	17	1795	4876	39583	146031	70	70	122604	72774	98380	7589173	3494097	6637316	1805	4515	3.094330097061097E-7	4.733105233105069E-6	0.0	0.0	0.0	0.0
	1439734	1439192		-	SSO1594	SSO1594	Coenzyme F390 synthetase	125	31	3489	1236	3	4	78	96	1721	2883	4	4	49	83	59	3057	3987	4030	2	6	0.07486834772614964	1.0	0.42819022667764567	1.0	4.666939393227034E-4	1.0
1439908	1439908	1441335	1441335	+	SSO1595	SSO1595	Medium-chain-fatty-acid--CoA ligase (alkK-1)	549	630	15257	24930	10	14	993	535	21908	16025	14	13	1082	1181	672	67001	56745	45391	16	39	0.007621539522092944	1.0	0.008993566026046633	1.0	9.582521161369529E-24	1.0
1443069	1443069	1441519		-	SSO1597	SSO1597	Acyl-CoA dehydrogenase (acd-2)	673	860	18701	34048	12	17	1223	612	26982	18333	16	14	261	315	169	16201	15130	11450	3	9	0.0014456259055867044	1.0	1.735339044029281E-9	1.0	6.595085063805648E-4	1.0
1444715	1444715	1443075	1443075	-	SSO1598	SSO1598	Partial transposase ISC1225	997	1080	27677	42732	16	21	1217	765	26841	22932	16	15	442	547	472	27371	26303	31885	7	17	6.029022290789349E-5	1.0	0.0016270952655545847	1.0	0.3092050211455181	1.0
1445389	1445389	1446273	1446273	+	SSO1599	SSO1599	Glycerol kinase (glpK-1)	805	250	22361	9915	15	18	671	655	14806	19629	20	19	196	252	165	12183	12141	11193	5	13	0.059912065721617225	1.0	1.0650677698484567E-4	1.0	0.0072067009788073675	1.0
	1446518	1448023		+	SSO1600	SSO1600	Transporter/facilitator	127	55	3528	2192	1	1	116	89	2574	2673	1	1	38	70	34	2384	3400	2347	0	1	0.030229397288154946	1.0	0.18498210808764926	1.0	0.4008269512750583	1.0
	1448024	1448893		+	SSO1601	SSO1601	First ORF in transposon ISC1229	239	111	6634	4409	5	6	185	173	4090	5199	5	5	27	61	34	1688	2935	2294	1	2	0.006079845877621831	1.0	8.50073302355874E-10	1.0	1.0448466595615681E-4	1.0
	1449178	1448951		-	SSO8456	SSO8456	ORF in partial transposon ISC1217	7	2	209	108	0	0	3	1	71	37	0	0	0	2	2	29	110	179	0	0	1.0369292650751624E-7	1.0	0.22439454331546982	1.0	0.0015973890518879515	1.0
	1449357	1449175		-	SSO8458	SSO8458	ORF in partial transposon ISC1217	0	1	7	71	0	0	0	0	0	0	0	0	0	3	1	41	179	84	0	0	1.5899087404448846E-26	1.0	2.882219485681645E-4	1.0	1.0	1.0
	1449636	1449400		-	SSO8459	SSO8459	hypothetical protein	4	1	128	52	0	0	1	1	28	51	0	0	0	3	0	16	166	19	0	0	5.152092920258108E-4	1.0	0.6460988435500323	1.0	0.01439889304002476	1.0
1449666	1449666	1450007	1450007	+	SSO1602	SSO1602	Second ORF in transposon ISC1229	1398	1062	38816	42010	91	118	9844	7426	217062	222425	700	642	6689	7736	4876	414049	371454	328979	454	1086	3.297531348070497E-14	1.2518554983589582E-12	9.093358743696281E-49	6.22145621299484E-48	0.0015957467046984512	0.0034211842229519827
1450008	1450055	1450573	1450581	+	SSO1603	SSO1603	Third ORF in transposon ISC1229	1903	1246	52844	49311	77	98	13679	10134	301598	303506	636	582	9168	11111	7551	567509	533482	509486	431	1034	9.132610887942699E-16	4.061402527737946E-14	1.0607584251751594E-59	7.824978619834766E-59	0.003178816107861931	0.00672259140202051
	1450617	1450820		+	SSO8462	SSO8462	hypothetical protein	12	17	341	699	1	2	17	14	392	422	2	1	5	14	4	366	673	280	0	2	0.03661455553590081	1.0	0.2750844007166709	1.0	0.3630640079557162	1.0
1452040	1452040	1451468	1451468	-	SSO1605	SSO1605	hypothetical protein	428	226	11893	8967	14	18	467	385	10302	11554	20	19	326	489	276	20184	23514	18658	15	36	0.02860395628431817	1.0	0.3839561562513915	1.0	2.443453554909248E-7	1.0
1452309	1452325	1453128	1453211	+	SSO1606	SSO1606	hypothetical protein	1338	1705	37149	67462	48	65	1971	1351	43467	40484	57	52	1861	2060	1555	115198	98917	104931	54	132	0.002239811104748449	1.0	0.3200920692536786	0.7047005739651354	3.017051399346107E-12	8.423391036918773E-12
1453848	1453848	1453219		-	SSO1607	SSO1607	pyrrolidone-carboxylate peptidase	2420	829	67185	32799	65	79	1568	1445	34589	43278	66	61	144	168	142	8940	8071	9627	5	14	8.909652503525796E-4	0.0063907254017225345	2.4273029877396316E-110	2.282838127140022E-109	4.975420948143508E-58	2.308269062827234E-57
	1453925	1454182		+	SSO8469	SSO8469	hypothetical protein	61	24	1705	963	4	5	64	95	1426	2857	8	8	4	26	7	305	1258	473	1	2	0.4889416573594664	1.0	3.5438334642446514E-5	1.0	8.266630280512025E-13	1.0
	1454690	1454484		-	SSO8472	SSO8472	hypothetical protein	27	25	752	992	3	4	25	32	565	972	3	3	12	15	11	751	744	785	1	3	0.09096527747665248	1.0	0.17545204383419777	1.0	0.7760088520050817	1.0
	1455124	1454687		-	SSO1608	SSO1608	hypothetical protein	148	78	4108	3086	6	8	102	129	2270	3874	7	7	41	54	33	2552	2615	2280	2	5	0.010116462900507881	1.0	0.002914169163383621	1.0	0.4983838742973867	1.0
	1455422	1455709		+	SSO8475	SSO8475	hypothetical protein	10	24	279	969	1	2	6	8	145	247	0	0	19	40	18	1203	1952	1264	2	5	8.754978258958589E-13	1.0	7.332611676727516E-4	1.0	1.3855880294387525E-87	1.0
	1455740	1456027		+	SSO8478	SSO8478	hypothetical protein	20	17	565	693	1	2	16	15	360	457	1	1	7	8	14	486	401	967	0	2	0.0017077942059947262	1.0	0.48223436875699194	1.0	0.010039873809199363	1.0
	1456112	1456303		+	SSO8481	SSO8481	SSV1 hypothetical 14.8 kd protein (orf B-129)	33	7	934	311	2	3	2	10	47	310	0	0	13	32	23	810	1564	1607	2	6	9.34284320520565E-16	1.0	0.005341686604987352	1.0	2.9242813808122525E-85	1.0
1458435	1458435	1457989		-	SSO1610	SSO1610	hypothetical protein	1230	648	34163	25648	53	66	546	535	12053	16025	33	31	66	126	77	4091	6050	5214	4	11	3.258585461485897E-11	1.0	5.045500704138669E-92	1.0	1.342152910861888E-13	1.0
1459364	1459364	1458558	1458558	-	SSO1611	SSO1611	hypothetical protein	3373	1710	93638	67650	80	99	2217	1911	48894	57251	70	65	501	704	472	31049	33829	31897	16	39	1.8989610451609223E-4	0.0016558727545058687	2.7988276985654666E-14	1.2202731968675486E-13	6.844584634418969E-4	0.0014837877414307975
1461099	1461099	1460176	1460176	-	SSO1612	SSO1612	Transposase ISC1290	488	192	13567	7626	9	11	372	233	8214	6978	9	8	133	243	85	8273	11707	5780	4	9	1.25015681586693E-4	1.0	0.0011687393491651014	1.0	0.4503093008950163	1.0
	1461287	1461955		+	SSO1613	SSO1613	hypothetical protein	17	77	472	3065	1	2	13	12	307	371	0	0	18	64	13	1144	3101	928	1	2	1.0480785012269127E-54	1.0	0.23220015618307174	1.0	4.2486320400932724E-50	1.0
	1463005	1461980		-	SSO1614	SSO1614	Glycosyltransferase, putative	248	125	6901	4946	4	5	327	250	7228	7508	7	7	13	40	18	834	1957	1228	0	1	0.2974904117044938	1.0	5.70716353686482E-37	1.0	3.966855368055523E-58	1.0
1463138	1463138	1464673	1464673	+	SSO1615	SSO1615	hypothetical protein	589	276	16365	10925	7	8	657	607	14507	18194	11	10	223	326	152	13859	15682	10261	3	8	0.20093106208389025	1.0	0.014922624186041109	1.0	0.10635924687376168	1.0
1464742	1464742	1465701	1465701	+	SSO1616	SSO1616	Transposase ISC1234	1118	781	31058	30925	25	32	1206	1766	26607	52909	42	41	675	1270	701	41814	61023	47337	22	52	0.33534448665387623	1.0	0.9542498568447345	1.0	0.16416305525572544	1.0
	1465989	1466684		+	SSO1617	SSO1617	hypothetical protein	41	25	1144	1014	1	1	24	19	536	579	0	0	19	40	16	1221	1931	1117	0	2	5.339197782468073E-6	1.0	0.813547204859555	1.0	6.107951247905358E-10	1.0
	1466644	1467852	1467852	+	SSO1618	SSO1618	Glycosyltransferase	546	447	15160	17711	10	13	1379	955	30414	28614	26	24	135	134	80	8400	6476	5410	2	5	0.5361168423425035	1.0	1.2156747368678963E-13	1.0	1.9743525477025394E-48	1.0
1469011	1469011	1467986	1467986	-	SSO1619	SSO1619	Glycosyltransferase	323	230	8992	9120	6	8	595	507	13124	15213	14	13	95	151	88	5923	7269	5937	2	6	0.8304958320418778	1.0	2.6280011445455135E-4	1.0	3.05054180747827E-8	1.0
	1470577	1469360		-	SSO1620	SSO1620	Glycosyltransferase	240	146	6683	5781	4	5	350	252	7721	7571	6	6	19	29	19	1207	1428	1333	0	1	0.2553508675254454	1.0	1.747140138082969E-43	1.0	1.5073215530931738E-66	1.0
1470614	1470614	1471627	1471627	+	SSO1621	SSO1621	hypothetical protein	264	226	7339	8948	6	8	476	333	10509	9985	11	10	71	122	59	4395	5897	4029	2	4	0.15012779859062975	1.0	8.6318728311108E-6	1.0	2.5156043817945946E-6	1.0
1472103	1472103	1473362	1473362	+	SSO1622	SSO1622	Glycosyltransferase	408	359	11333	14233	7	10	765	609	16883	18244	15	13	174	325	151	10796	15643	10242	4	9	0.47658501616856636	1.0	0.014051234113176542	1.0	0.00933207932812137	1.0
1473380	1473380	1474498	1474498	+	SSO1623	SSO1623	hypothetical protein	300	399	8336	15810	7	10	497	371	10967	11111	10	9	1950	2695	1621	120748	129439	109405	45	107	0.005342589413825979	1.0	6.327207025127407E-69	4.936490092536746E-68	0.0	0.0
	1474711	1476120	1476120	+	SSO1624	SSO1624	Polysaccharide biosynthesis related protein	382	274	10626	10867	5	7	500	480	11032	14400	9	9	647	998	545	40064	47925	36826	12	29	0.17708373571839192	1.0	8.424019856979874E-7	1.0	6.408194172669798E-27	1.0
	1477508	1476858		-	SSO1625	SSO1625	hypothetical protein	56	82	1573	3256	2	3	33	25	739	763	1	1	33	65	39	2047	3127	2639	1	4	7.309807956079084E-20	1.0	0.48204368766285144	1.0	2.8807312899797644E-22	1.0
	1479011	1477947		-	SSO1626	SSO1626	Glycosyltransferase	97	59	2710	2347	1	2	61	65	1354	1963	1	1	31	32	28	1954	1570	1925	0	1	1.0026358030688593E-4	1.0	0.007109185235979679	1.0	0.3061743647005598	1.0
	1479404	1480378		+	SSO1627	SSO1627	Partial transposase ISC1225	20	27	577	1080	0	0	6	8	135	256	0	0	10	21	14	671	1021	995	0	0	1.5139330310558483E-24	1.0	0.6308281636768784	1.0	2.7484365589677285E-28	1.0
1482070	1482070	1480658	1480658	-	SSO1629	SSO1629	Glyceraldehyde-3-phosphate dehydrogenase, NADP	731	1022	20292	40439	15	21	2302	1285	50763	38502	35	31	5466	7008	4246	338396	336491	286514	95	226	0.8027946614348793	1.0	1.5106967951434844E-68	1.1756997808204167E-67	1.4895609718218965E-142	9.329986529741578E-142
	1483252	1482200		-	SSO1631	SSO1631	Coenzyme PQQ synthesis protein E (pqqE-2)	185	130	5160	5154	3	4	110	81	2432	2444	2	2	78	137	65	4841	6621	4447	2	5	1.4599898524988603E-10	1.0	0.1061991879920403	1.0	5.246186672802693E-9	1.0
	1484361	1483225		-	SSO1632	SSO1632	Coenzyme PQQ synthesis protein E (pqqE-3)	316	290	8773	11500	6	8	143	137	3167	4124	3	3	123	228	103	7659	10962	6969	3	7	8.468522841011541E-19	1.0	0.0021874877958591474	1.0	5.0645518904359E-10	1.0
1484911	1484911	1484423	1484405	-	SSO1634	SSO1634	hypothetical protein	2914	2521	80906	99733	141	184	164	80	3633	2418	6	6	600	1168	627	37147	56095	42348	39	92	0.0	0.0	5.122575847363702E-9	1.8916463360430847E-8	0.0	0.0
1486446	1486446	1486649		+	SSO8549	SSO8549	hypothetical protein	336	318	9348	12609	40	53	149	154	3292	4619	20	19	125	227	114	7748	10902	7754	18	43	8.115065558422187E-19	1.0	8.994686766786088E-4	1.0	9.853747348852594E-9	1.0
	1486622	1487182	1487182	+	SSO1635	SSO1635	hypothetical protein	345	524	9600	20727	19	27	224	211	4942	6322	10	10	268	422	221	16603	20275	14942	13	30	8.4630428625383E-18	1.0	0.10088272928238377	1.0	1.4325140085445725E-20	1.0
1487906	1487906	1489453	1489453	+	SSO1636	SSO1636	hypothetical protein	343	455	9533	18021	6	8	1033	692	22784	20749	15	14	232	315	158	14388	15128	10708	3	8	0.8238757726986591	1.0	0.014750052706526622	1.0	4.1592245560784333E-4	1.0
	1489981	1489637	1489637	-	SSO1637	SSO1637	hypothetical protein	43	59	1210	2355	3	5	216	88	4780	2662	12	10	163	197	97	10112	9477	6599	10	25	0.0585314921787302	1.0	4.636368816721488E-17	1.0	6.724864642190391E-10	1.0
1492476	1492476	1489987	1489987	-	SSO1638	SSO1638	Penicillin acylase precursor	1306	1145	36272	45323	12	16	3782	1996	83386	59789	32	28	3292	4263	2270	203815	204706	153170	31	75	0.5616397067780852	1.0	1.6635331080629078E-9	6.239251283614255E-9	1.0726987085604854E-10	2.883688324480821E-10
1492953	1492953	1493198	1493198	+	SSO8568	SSO8568	First ORF in transposon ISC1229	457	295	12686	11691	38	49	675	452	14896	13539	63	57	77	120	77	4777	5792	5218	9	21	0.1862321162096808	0.5778381230117899	3.1598940598202E-11	1.0	3.780935523955458E-13	1.0938710303042137E-12
	1493220	1493849	1493849	+	SSO1639	SSO1639	Second ORF in transposon ISC1229	787	551	21857	21819	27	34	1384	1002	30536	30016	52	48	233	332	188	14440	15954	12713	9	22	0.581050418831381	1.0	2.9666656739972146E-6	1.0	5.405074324303786E-10	1.0
	1494321	1493962		-	SSO1640	SSO1640	hypothetical protein	118	141	3291	5595	9	12	326	211	7194	6325	20	18	37	67	30	2348	3224	2034	3	7	0.9219879171389223	1.0	7.214751147804218E-5	1.0	1.8164263328661522E-9	1.0
1494686	1494686	1494297		-	SSO1641	SSO1641	hypothetical protein	310	257	8605	10191	18	24	398	305	8778	9149	25	22	40	65	48	2481	3150	3267	3	7	0.009903527414158913	1.0	4.0223141536775676E-17	1.0	1.2529853296469119E-12	1.0
1495213	1495464	1496429	1496429	+	SSO1642	SSO1642	Transposase ISC1439	15149	10109	420530	399849	332	424	6889	6007	151903	179924	185	171	12291	18805	12870	760816	902904	868344	366	873	2.557329903045879E-9	5.938940701800313E-8	0.7883872611204696	1.0	1.1994297061909474E-44	5.091498040388205E-44
	1496721	1497683		+	SSO1643	SSO1643	hypothetical protein	4	5	114	213	0	0	3	10	85	319	0	0	4	13	5	263	652	403	0	0	0.7038058455664858	1.0	1.3032629403641813E-5	1.0	3.940174220625609E-5	1.0
	1497688	1498104		+	SSO1645	SSO1645	hypothetical protein	5	16	151	664	0	0	10	7	227	213	0	0	10	12	5	680	609	389	0	1	2.6865490106130424E-4	1.0	0.5000378674733473	1.0	6.017564280096645E-8	1.0
	1498101	1499135	1499307	+	SSO1646	SSO1646	Alcohol dehydrogenase (Zn containing) (adh-5)	3039	2242	84368	88688	64	83	2872	2307	63327	69102	69	63	3533	4697	2555	218716	225561	172405	83	198	0.0026263430259332713	0.016685318040265865	0.14119617410709864	0.33265094425960334	1.6000706766081647E-16	4.917097745588566E-16
1500632	1500632	1499121	1499121	-	SSO1647	SSO1647	Benzoylformate decarboxylase (mdlC)	646	556	17942	22011	10	13	1004	779	22138	23355	16	15	190	260	181	11779	12508	12238	3	8	0.0732689131982072	1.0	4.5335863298462587E-7	1.0	3.2921610796181413E-6	1.0
	1501563	1501090		-	SSO1648	SSO1648	Second ORF in transposon ISC1250	14	12	396	512	0	0	6	2	134	79	0	0	8	15	13	534	738	878	0	1	1.2440334674920812E-24	1.0	0.17030127386949628	1.0	7.237157911816118E-67	1.0
	1501633	1502697	1502697	+	SSO1649	SSO1649	Transposase ISC1217	4121	2319	114412	91744	76	96	3532	2853	77878	85447	83	76	440	543	366	27268	26078	24702	10	24	0.00541513539844609	0.03037354323488771	1.6786930390272693E-45	1.1190088716256722E-44	1.344379735239468E-24	4.6656121692312864E-24
1503115	1503115	1502702	1502702	-	SSO1650	SSO1650	First ORF in transposon ISC1250	374	264	10401	10451	19	25	388	311	8559	9341	23	21	211	351	169	13112	16855	11406	14	33	0.0021240735813179007	1.0	0.2933261863673845	1.0	0.0022295888427836625	1.0
1503894	1503698	1503303	1503303	-	SSO1651	SSO1651	hypothetical protein	524	316	14549	12528	27	34	912	543	20112	16273	50	45	285	461	235	17646	22150	15876	19	46	0.3882946291709274	1.0	0.42994995323227864	1.0	0.9097250560904385	1.0
1504337	1504337	1505563	1505563	+	SSO1652	SSO1652	Transposase ISC1316	7290	3991	202377	157847	117	146	9408	7441	207447	222863	190	175	2312	2574	1960	143119	123611	132281	44	108	0.21805345528295492	0.6507884039096405	0.0015751384651589975	0.004429454419186955	0.0042617337866275576	0.008957986007948403
1506159	1506159	1508567	1508567	+	SSO1653	SSO1653	Helicase of the snf2/rad54 family (amino end	2571	2623	71385	103772	27	36	9543	5130	210421	153642	84	75	7927	10411	6282	490711	499899	423846	82	195	0.31943870375668165	0.8761345240480616	1.5710993482962663E-10	6.144261647294318E-10	5.282433222036284E-9	1.3601500926550003E-8
	1509538	1508573		-	SSO1654	SSO1654	Transposase ISC1173	56	44	1563	1747	1	1	45	40	993	1219	1	1	111	193	98	6904	9268	6617	3	7	4.2804556760841155E-4	1.0	5.959046306679521E-15	1.0	8.045664964292866E-129	1.0
	1509686	1510060		+	SSO1655	SSO1655	Helicase of the snf2/rad54 family (carboxy end	19	34	527	1370	1	2	5	4	128	149	0	0	10	26	11	639	1269	773	1	2	8.049698305045823E-69	1.0	0.2632676985237513	1.0	3.3461501043075577E-59	1.0
	1510060	1510713		+	SSO1656	SSO1656	hypothetical protein	23	23	651	925	0	1	27	19	598	580	0	0	12	24	9	769	1154	642	0	1	0.01698821182832132	1.0	0.6391269279789815	1.0	0.028499575670625877	1.0
1511957	1511957	1512196		+	SSO8620	SSO8620	hypothetical protein	645	329	17927	13023	51	64	717	521	15819	15611	71	65	307	451	261	19013	21686	17625	34	81	0.0430326307336105	0.17790249598104846	0.24110458926725023	0.5438830336151811	0.2001585461028076	0.38533924181696966
	1512162	1512542	1512543	+	SSO1657	SSO1657	hypothetical protein	693	409	19238	16212	36	46	873	648	19266	19412	55	50	370	649	412	22929	31160	27807	30	71	0.05092624086985629	1.0	0.8174154323970056	1.0	0.007904944756236704	0.016438271894565704
1512757	1512757	1513338		+	SSO1658	SSO1658	First ORF in transposon ISC1778	1271	1366	35305	54058	57	76	1100	791	24259	23691	45	41	701	810	639	43398	38912	43174	29	71	3.054418571128034E-9	6.890148559363456E-8	0.022776260539292967	0.058671954046345	1.4116922058265198E-5	3.2697900570966937E-5
	1513316	1514584		+	SSO1659	SSO1659	Second ORF in transposon ISC1778	281	352	7820	13943	6	8	392	200	8650	5992	6	5	117	245	109	7245	11791	7400	2	6	3.462202762429057E-5	1.0	0.0010626917033585155	1.0	0.26601445307551635	1.0
1516986	1516986	1515235	1515235	-	SSO1662	SSO1662	N-methylhydantoinase B (huyB-1)	246	721	6850	28539	6	10	398	178	8780	5350	4	4	1789	1887	1288	110750	90625	86919	22	54	1.1830351945971537E-15	1.0	4.096327635817836E-15	1.0	0.0	1.0
1519040	1519040	1516989	1516989	-	SSO1663	SSO1663	N-methylhydantoinase A (huyA-1)	360	1173	10018	46430	9	13	660	272	14561	8153	6	5	2356	2611	1796	145895	125404	121217	26	63	1.2766602345793665E-17	1.0	5.880351529257121E-10	1.0	0.0	1.0
1519238	1519238	1519717	1519717	+	SSO1664	SSO1664	hypothetical protein	1546	1482	42935	58637	80	105	603	392	13305	11757	28	26	510	714	542	31606	34317	36612	29	71	6.362583862659011E-49	9.003056165662501E-47	9.408244060965218E-5	2.865740094108095E-4	3.718027723865141E-17	1.1539601499892507E-16
1519887	1519887	1521248		+	SSO1665	SSO1665	Cytosine permease (codB)	1397	3006	38796	118918	40	57	2597	1282	57269	38399	39	35	2376	2864	2093	147134	137549	141268	43	104	2.8655958402673646E-5	1.0	0.688428115249036	1.0	1.148711799120117E-15	3.481927780585126E-15
	1521245	1521631	1521635	+	SSO1666	SSO1666	hypothetical protein	123	379	3421	14991	16	23	382	166	8435	4984	19	17	466	547	409	28863	26279	27633	29	71	2.719359830197575E-4	1.0	0.00361118635573529	0.009887091579071203	8.905310257862323E-44	3.731121242627915E-43
1521636	1521636	1522718		+	SSO1667	SSO1667	hypothetical protein	182	589	5068	23325	9	13	391	150	8626	4503	6	6	559	583	430	34622	28000	29035	11	28	6.620403005422483E-11	1.0	0.14643781183109697	1.0	7.267569430862467E-59	1.0
	1522660	1524249	1524249	+	SSO1668	SSO1668	N-methylhydantoinase A related protein	257	811	7144	32077	8	12	381	168	8408	5032	4	4	414	489	332	25647	23517	22421	6	15	7.1780529405006925E-22	1.0	0.20295198218217694	1.0	1.875697405111702E-30	1.0
	1525270	1524224		-	SSO1671	SSO1671	hypothetical protein	47	43	1316	1707	1	1	39	32	879	976	0	0	66	109	55	4100	5267	3733	1	4	6.902021999870866E-5	1.0	4.864600284188318E-5	1.0	7.116758872148562E-52	1.0
1526503	1526503	1525316	1525309	-	SSO1672	SSO1672	Transposase ISC1316	10237	5687	284180	224942	170	214	9791	7384	215884	221171	200	183	6836	8168	5301	423145	392189	357637	137	329	0.019265256870818044	0.08924515571258418	0.96457401478828	1.0	6.370933510271995E-4	0.0013830345897821981
	1527437	1527105		-	SSO1673	SSO1673	hypothetical protein	72	55	2006	2191	4	6	56	44	1234	1345	4	3	42	53	32	2615	2566	2215	3	7	3.231062302988942E-5	1.0	0.6888639661608464	1.0	3.930780734415337E-6	1.0
	1527799	1527413		-	SSO1674	SSO1674	hypothetical protein	150	120	4174	4751	8	11	88	76	1949	2282	5	5	60	101	62	3772	4863	4205	4	11	2.7877051236813735E-10	1.0	0.08304307909261315	1.0	1.8021150244625692E-7	1.0
1528090	1528090	1529271		+	SSO1675	SSO1675	hypothetical protein	845	988	23482	39079	19	26	1454	913	32075	27358	27	25	3097	3928	2693	191727	188610	181690	66	158	0.02709167243534706	1.0	6.7559736000031296E-18	3.1673713579532744E-17	3.041610549710548E-114	1.776460345450082E-113
	1529268	1530953	1530953	+	SSO1676	SSO1676	hypothetical protein	734	1187	20378	46964	14	19	1429	789	31518	23631	18	16	1639	2000	1216	101462	96025	82043	23	55	0.0029473833977083372	1.0	0.009437999368166345	1.0	3.831161778249009E-26	1.0
	1532343	1531378		-	SSO1678	SSO1678	Transposase ISC1439	422	219	11731	8664	8	10	253	258	5583	7740	7	6	102	197	86	6362	9493	5830	3	7	2.5732490752973985E-5	1.0	1.7899844498672017E-4	1.0	0.6016867279508803	1.0
	1533600	1532572		-	SSO1679	SSO1679	Transposase ISC1250	330	231	9177	9160	6	8	304	222	6721	6671	7	6	208	255	154	12919	12290	10420	4	11	2.8080879708605684E-4	1.0	0.2511316172383261	1.0	1.6375087313961516E-4	1.0
1534379	1534379	1534678		+	SSO1680	SSO1680	hypothetical protein	673	289	18685	11450	40	50	493	411	10885	12327	41	38	42	68	27	2658	3280	1876	3	8	3.47155711369085E-4	1.0	2.4278872489850597E-67	1.0	7.409780718859692E-34	1.0
	1535273	1535605		+	SSO1681	SSO1681	Partial transposase in ISC1316	53	89	1479	3528	5	7	27	19	599	575	1	1	27	48	21	1727	2343	1435	2	5	2.5020897056941706E-35	1.0	0.010026953633988919	1.0	4.703192526714721E-16	1.0
	1535774	1536145		+	SSO1682	SSO1682	Partial transposase in ISC1316	82	90	2301	3577	5	7	37	29	816	889	2	2	24	34	12	1534	1662	876	1	3	3.057453873703998E-25	1.0	1.7621058969817533E-7	1.0	0.002665990907091033	1.0
	1536595	1536092		-	SSO1683	SSO1683	hypothetical protein	8	7	242	308	0	0	1	4	42	119	0	0	22	49	19	1373	2371	1313	1	3	1.1159126194232799E-13	1.0	2.5467999307722495E-32	1.0	0.0	1.0
	1536849	1536595		-	SSO8684	SSO8684	Third ORF in transposon ISC1173	12	14	351	574	1	1	3	4	73	145	0	0	18	51	14	1151	2471	978	2	6	1.8233451102527645E-23	1.0	4.7166062842074185E-9	1.0	2.0622069780658814E-307	1.0
	1537022	1536846		-	SSO8685	SSO8685	First ORF in transposon ISC1173	7	10	201	424	1	1	10	5	228	173	1	1	16	35	17	1039	1721	1151	3	7	0.011041246839465982	1.0	6.275831869709122E-14	1.0	1.298328150210005E-63	1.0
	1537652	1537918		+	SSO8687	SSO8687	Partial transposase ISC1190	11	16	331	670	1	1	3	1	70	38	0	0	7	25	7	491	1228	481	1	2	6.51183943355035E-90	1.0	0.28427306094393034	1.0	1.961561709377979E-192	1.0
	1538100	1538882		+	SSO1684	SSO1684	Partial transposon ISC1190	68	52	1906	2094	1	2	31	29	694	868	1	0	21	47	14	1349	2282	998	0	1	3.4185034582394524E-12	1.0	0.02373061175634713	1.0	1.2732131126303991E-5	1.0
1539641	1539641	1540336	1540365	+	SSO1686	SSO1686	hypothetical protein	3769	3322	104636	131412	129	169	2543	2039	56080	61081	91	84	4070	6129	3803	251976	294297	256622	161	384	7.915186381316267E-8	1.3318905516236507E-6	0.2914954503723996	0.6486242580480914	1.8274386861557868E-43	7.625759557644725E-43
	1541264	1540629		-	SSO1688	SSO1688	Partial transposase ISC1359	161	73	4494	2906	4	5	130	120	2867	3610	5	5	41	52	33	2563	2497	2253	1	3	0.012827700188794052	1.0	0.0010451919307136424	1.0	0.26325525460394067	1.0
1541678	1541678	1542004		+	SSO1689	SSO1689	hypothetical protein	2049	1534	56881	60673	139	179	1069	1025	23570	30709	88	82	807	1034	650	50012	49663	43898	61	146	6.423764270542965E-11	1.904493159447643E-9	0.0019099336729691799	0.005318089019636008	1.3735232380610664E-4	3.0563101072795563E-4
	1541979	1542281	1542281	+	SSO1690	SSO1690	hypothetical protein	368	309	10217	12250	28	37	180	164	3975	4938	15	14	142	155	96	8829	7469	6527	10	25	3.6564459623930975E-15	1.0	5.237780071200889E-5	1.0	3.788385064327101E-4	1.0
1542451	1542451	1543104	1543104	+	SSO1691	SSO1691	hypothetical protein	2093	1712	58106	67730	73	96	3142	2553	69294	76479	120	111	171	266	141	10637	12790	9530	7	16	0.24327953785043724	0.7124451564707537	7.8927633831199E-117	7.583386546806249E-116	8.130351093294297E-162	5.261909137926226E-161
1545244	1545244	1543262	1543262	-	SSO1692	SSO1692	tyramine oxidase	457	466	12692	18452	5	7	599	503	13222	15080	7	7	979	1376	908	60630	66083	61312	13	31	0.011193795078559053	1.0	1.3983514738044E-7	1.0	4.783485169523491E-55	1.0
	1545396	1546784		+	SSO1693	SSO1693	Amino acid transporter related protein	205	124	5691	4927	3	3	288	248	6355	7447	5	4	213	264	221	13188	12699	14935	4	9	0.4228573476762452	1.0	0.027132214900683484	1.0	3.021964098679136E-6	1.0
	1548416	1547520		-	SSO1695	SSO1695	Transposase in ISC1395	87	55	2429	2212	2	2	91	79	2016	2374	2	2	61	118	46	3815	5684	3122	2	4	0.053195149032131635	1.0	0.16514369411964513	1.0	1.7585110034565476E-6	1.0
